,index,model,runtime,ftime,n_x,tmp,dpt,cld,wdr,wsp,p06,p12,q06,q12,t06_1,t06_2,t12_1,t12_2,snw,cig,vis,obv,poz,pos,typ,sky,gst,t03,pzr,psn,ppl,pra,s06,slv,i06,lcb,swh,station,dur,mht,twd,tws,hid,sol,q24,p24,t24,ccg,ppo,pco,cvs,lp1,lc1,cp1,cc1,s12,i12,s24,pzp,prs,txn,xnd,tsd,dsd,ssd,gsd,ifc,ifv,mvc,mvv,liv,wsd,p01,pc1,t06,t12,runtime_utc,ftime_utc
0,0,LAV,2020-12-21 12:00,2020-12-21 13:00,,33.0,31.0,OV,320.0,2.0,,,,,,,,,,3,7,N ,11.0,45.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,3.0,1.0,N,5.0,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,,,,,2020-12-21T12:00:00.000Z,2020-12-21T13:00:00.000Z
1,1,LAV,2020-12-21 12:00,2020-12-21 14:00,,33.0,32.0,OV,40.0,2.0,,,,,,,,,,3,7,N ,8.0,45.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,3.0,2.0,N,5.0,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,,,,,2020-12-21T12:00:00.000Z,2020-12-21T14:00:00.000Z
2,2,LAV,2020-12-21 12:00,2020-12-21 15:00,,35.0,33.0,OV,0.0,0.0,,,,,,,,,,3,7,N ,5.0,44.0,S ,,,,,,,,,,,,,KBOS,,,,,,,,,,3.0,2.0,N,5.0,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,,,,,2020-12-21T12:00:00.000Z,2020-12-21T15:00:00.000Z
3,3,LAV,2020-12-21 12:00,2020-12-21 16:00,,36.0,33.0,OV,70.0,2.0,,,,,,,,,,3,7,N ,4.0,42.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3.0,3.0,N,5.0,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,,,,,2020-12-21T12:00:00.000Z,2020-12-21T16:00:00.000Z
4,4,LAV,2020-12-21 12:00,2020-12-21 17:00,,38.0,34.0,OV,80.0,4.0,,,,,,,,,,2,7,N ,2.0,40.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3.0,5.0,N,5.0,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,,,,,2020-12-21T12:00:00.000Z,2020-12-21T17:00:00.000Z
5,5,LAV,2020-12-21 12:00,2020-12-21 18:00,,38.0,34.0,OV,50.0,6.0,9.0,,,,,,,,,3,5,HZ,1.0,38.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3.0,6.0,N,5.0,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,,,,,2020-12-21T12:00:00.000Z,2020-12-21T18:00:00.000Z
6,6,LAV,2020-12-21 12:00,2020-12-21 19:00,,38.0,33.0,OV,20.0,6.0,,,,,,,,,,3,6,N ,1.0,35.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3.0,7.0,N,5.0,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,,,,,2020-12-21T12:00:00.000Z,2020-12-21T19:00:00.000Z
7,7,LAV,2020-12-21 12:00,2020-12-21 20:00,,38.0,33.0,OV,360.0,6.0,,,,,,,,,,3,7,N ,0.0,33.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3.0,7.0,N,4.0,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,,,,,2020-12-21T12:00:00.000Z,2020-12-21T20:00:00.000Z
8,8,LAV,2020-12-21 12:00,2020-12-21 21:00,,37.0,32.0,OV,350.0,5.0,,,,,,,,,,3,7,N ,0.0,30.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3.0,7.0,N,3.0,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,,,,,2020-12-21T12:00:00.000Z,2020-12-21T21:00:00.000Z
9,9,LAV,2020-12-21 12:00,2020-12-21 22:00,,37.0,32.0,OV,340.0,5.0,,,,,,,,,,2,7,N ,0.0,38.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2.0,7.0,N,4.0,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,,,,,2020-12-21T12:00:00.000Z,2020-12-21T22:00:00.000Z
