,index,model,runtime,ftime,n_x,tmp,dpt,cld,wdr,wsp,p06,p12,q06,q12,t06_1,t06_2,t12_1,t12_2,snw,cig,vis,obv,poz,pos,typ,sky,gst,t03,pzr,psn,ppl,pra,s06,slv,i06,lcb,swh,station,dur,mht,twd,tws,hid,sol,q24,p24,t24,ccg,ppo,pco,cvs,lp1,lc1,cp1,cc1,s12,i12,s24,pzp,prs,txn,xnd,tsd,dsd,ssd,gsd,ifc,ifv,mvc,mvv,liv,wsd,p01,pc1,t06,t12,runtime_utc,ftime_utc
13,13,LAV,2021-09-02 00:00,2021-09-02 14:00,,62.0,58.0,OV,350.0,18.0,,,,,,,,,,3,7,N ,0.0,0.0,R ,,25.0,,,,,,,,,,,KBOS,,,,,,,,,,3,44.0,Y,4,0.0,N,7.0,N,,,,,,,,,,,,,,,,,,25,N,,,2021-09-02T00:00:00.000Z,2021-09-02T14:00:00.000Z
14,14,LAV,2021-09-02 00:00,2021-09-02 15:00,,62.0,57.0,OV,340.0,17.0,,,,,,,,,,3,7,N ,0.0,0.0,R ,,24.0,,,,,,,,,,,KBOS,,,,,,,,,,3,25.0,N,5,0.0,N,4.0,N,,,,,,,,,,,,,,,,,,8,N,,,2021-09-02T00:00:00.000Z,2021-09-02T15:00:00.000Z
15,15,LAV,2021-09-02 00:00,2021-09-02 16:00,,64.0,56.0,OV,330.0,15.0,,,,,,,,,,4,7,N ,0.0,0.0,R ,,22.0,,,,,,,,,,,KBOS,,,,,,,,,,4,14.0,N,7,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,4,N,,,2021-09-02T00:00:00.000Z,2021-09-02T16:00:00.000Z
16,16,LAV,2021-09-02 00:00,2021-09-02 17:00,,65.0,56.0,OV,330.0,14.0,,,,,,,,,,5,7,N ,0.0,0.0,R ,,21.0,,,,,,,,,,,KBOS,,,,,,,,,,4,4.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,2,N,,,2021-09-02T00:00:00.000Z,2021-09-02T17:00:00.000Z
17,17,LAV,2021-09-02 00:00,2021-09-02 18:00,,66.0,55.0,OV,320.0,13.0,81.0,,,,,,,,,5,7,N ,0.0,0.0,R ,,20.0,,,,,,,,,,,KBOS,,,,,,,,,,5,0.0,N,7,0.0,N,2.0,N,,,,,,,,,,,,,,,,,,1,N,,,2021-09-02T00:00:00.000Z,2021-09-02T18:00:00.000Z
18,18,LAV,2021-09-02 00:00,2021-09-02 19:00,,67.0,55.0,OV,330.0,13.0,,,,,,,,,,6,7,N ,0.0,0.0,R ,,21.0,,,,,,,,,,,KBOS,,,,,,,,,,5,0.0,N,7,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,1,N,,,2021-09-02T00:00:00.000Z,2021-09-02T19:00:00.000Z
19,19,LAV,2021-09-02 00:00,2021-09-02 20:00,,67.0,54.0,OV,330.0,13.0,,,,,,,,,,6,7,N ,0.0,0.0,R ,,20.0,,,,,,,,,,,KBOS,,,,,,,,,,5,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2021-09-02T00:00:00.000Z,2021-09-02T20:00:00.000Z
20,20,LAV,2021-09-02 00:00,2021-09-02 21:00,,66.0,53.0,OV,330.0,13.0,,,,,,,,,,6,7,N ,0.0,0.0,R ,,20.0,,,,,,,,,,,KBOS,,,,,,,,,,6,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2021-09-02T00:00:00.000Z,2021-09-02T21:00:00.000Z
21,21,LAV,2021-09-02 00:00,2021-09-02 22:00,,66.0,53.0,OV,330.0,11.0,,,,,,,,,,6,7,N ,0.0,0.0,R ,,18.0,,,,,,,,,,,KBOS,,,,,,,,,,6,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2021-09-02T00:00:00.000Z,2021-09-02T22:00:00.000Z
22,22,LAV,2021-09-02 00:00,2021-09-02 23:00,,65.0,52.0,OV,340.0,9.0,,,,,,,,,,7,7,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,7,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2021-09-02T00:00:00.000Z,2021-09-02T23:00:00.000Z
23,23,LAV,2021-09-02 00:00,2021-09-03 00:00,,64.0,52.0,OV,360.0,8.0,4.0,,,,,,,,,7,7,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,7,0.0,N,7,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,2,N,,,2021-09-02T00:00:00.000Z,2021-09-03T00:00:00.000Z
24,24,LAV,2021-09-02 00:00,2021-09-03 01:00,,63.0,51.0,OV,330.0,7.0,,,,,,,,,,7,7,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,7,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,2,N,,,2021-09-02T00:00:00.000Z,2021-09-03T01:00:00.000Z
25,25,LAV,2021-09-02 00:00,2021-09-03 02:00,,,,BK,,,,,,,,,,,,7,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,7,,,7,,,,,,,,,,,,,,,,,,,,,,2,N,,,2021-09-02T00:00:00.000Z,2021-09-03T02:00:00.000Z
26,26,LAV,2021-09-02 00:00,2021-09-03 03:00,,,,BK,,,,,,,,,,,,7,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,7,,,7,,,,,,,,,,,,,,,,,,,,,,2,N,,,2021-09-02T00:00:00.000Z,2021-09-03T03:00:00.000Z
27,27,LAV,2021-09-02 00:00,2021-09-03 04:00,,,,BK,,,,,,,,,,,,7,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,,,7,,,,,,,,,,,,,,,,,,,,,,2,N,,,2021-09-02T00:00:00.000Z,2021-09-03T04:00:00.000Z
28,28,LAV,2021-09-02 00:00,2021-09-03 05:00,,,,BK,,,,,,,,,,,,7,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,7,,,7,,,,,,,,,,,,,,,,,,,,,,2,N,,,2021-09-02T00:00:00.000Z,2021-09-03T05:00:00.000Z
29,29,LAV,2021-09-02 00:00,2021-09-03 06:00,,,,BK,,,4.0,,,,,,,,,7,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,7,,,7,,,,,,,,,,,,,,,,,,,,,,2,N,,,2021-09-02T00:00:00.000Z,2021-09-03T06:00:00.000Z
30,30,LAV,2021-09-02 00:00,2021-09-03 07:00,,,,BK,,,,,,,,,,,,7,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,7,,,7,,,,,,,,,,,,,,,,,,,,,,2,N,,,2021-09-02T00:00:00.000Z,2021-09-03T07:00:00.000Z
31,31,LAV,2021-09-02 00:00,2021-09-03 08:00,,,,BK,,,,,,,,,,,,7,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,7,,,7,,,,,,,,,,,,,,,,,,,,,,2,N,,,2021-09-02T00:00:00.000Z,2021-09-03T08:00:00.000Z
32,32,LAV,2021-09-02 00:00,2021-09-03 09:00,,,,BK,,,,,,,,,,,,7,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,7,,,7,,,,,,,,,,,,,,,,,,,,,,2,N,,,2021-09-02T00:00:00.000Z,2021-09-03T09:00:00.000Z
33,33,LAV,2021-09-02 00:00,2021-09-03 10:00,,,,BK,,,,,,,,,,,,7,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,7,,,7,,,,,,,,,,,,,,,,,,,,,,3,N,,,2021-09-02T00:00:00.000Z,2021-09-03T10:00:00.000Z
34,34,LAV,2021-09-02 00:00,2021-09-03 11:00,,,,BK,,,,,,,,,,,,7,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,7,,,7,,,,,,,,,,,,,,,,,,,,,,3,N,,,2021-09-02T00:00:00.000Z,2021-09-03T11:00:00.000Z
35,35,LAV,2021-09-02 00:00,2021-09-03 12:00,,,,BK,,,6.0,,,,,,,,,7,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,7,,,7,,,,,,,,,,,,,,,,,,,,,,3,N,,,2021-09-02T00:00:00.000Z,2021-09-03T12:00:00.000Z
36,36,LAV,2021-09-02 00:00,2021-09-03 13:00,,,,BK,,,,,,,,,,,,7,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,7,,,7,,,,,,,,,,,,,,,,,,,,,,3,N,,,2021-09-02T00:00:00.000Z,2021-09-03T13:00:00.000Z
37,37,LAV,2021-09-02 00:00,2021-09-03 14:00,,,,BK,,,,,,,,,,,,6,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,6,,,7,,,,,,,,,,,,,,,,,,,,,,3,N,,,2021-09-02T00:00:00.000Z,2021-09-03T14:00:00.000Z
