,index,model,runtime,ftime,n_x,tmp,dpt,cld,wdr,wsp,p06,p12,q06,q12,t06_1,t06_2,t12_1,t12_2,snw,cig,vis,obv,poz,pos,typ,sky,gst,t03,pzr,psn,ppl,pra,s06,slv,i06,lcb,swh,station,dur,mht,twd,tws,hid,sol,q24,p24,t24,ccg,ppo,pco,cvs,lp1,lc1,cp1,cc1,s12,i12,s24,pzp,prs,txn,xnd,tsd,dsd,ssd,gsd,ifc,ifv,mvc,mvv,liv,wsd,p01,pc1,t06,t12,runtime_utc,ftime_utc
0,0,LAV,2022-06-23 12:00,2022-06-23 13:00,,62.0,59.0,OV,120.0,6.0,,,,,,,,,,2,2,FG,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,1,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-06-23T12:00:00.000Z,2022-06-23T13:00:00.000Z
1,1,LAV,2022-06-23 12:00,2022-06-23 14:00,,64.0,59.0,BK,120.0,7.0,,,,,,,,,,2,2,BR,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,2,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-06-23T12:00:00.000Z,2022-06-23T14:00:00.000Z
2,2,LAV,2022-06-23 12:00,2022-06-23 15:00,,66.0,59.0,BK,130.0,8.0,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,5,0.0,N,2,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-06-23T12:00:00.000Z,2022-06-23T15:00:00.000Z
3,3,LAV,2022-06-23 12:00,2022-06-23 16:00,,65.0,58.0,BK,130.0,9.0,,,,,,,,,,6,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,2,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-06-23T12:00:00.000Z,2022-06-23T16:00:00.000Z
4,4,LAV,2022-06-23 12:00,2022-06-23 17:00,,66.0,58.0,BK,130.0,9.0,,,,,,,,,,7,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,7,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-06-23T12:00:00.000Z,2022-06-23T17:00:00.000Z
5,5,LAV,2022-06-23 12:00,2022-06-23 18:00,,66.0,58.0,BK,130.0,10.0,0.0,,,,,,,,,7,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,7,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-06-23T12:00:00.000Z,2022-06-23T18:00:00.000Z
6,6,LAV,2022-06-23 12:00,2022-06-23 19:00,,66.0,57.0,BK,130.0,10.0,,,,,,,,,,7,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,7,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2022-06-23T12:00:00.000Z,2022-06-23T19:00:00.000Z
7,7,LAV,2022-06-23 12:00,2022-06-23 20:00,,66.0,57.0,BK,120.0,11.0,,,,,,,,,,7,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,8,0.0,N,7,1.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2022-06-23T12:00:00.000Z,2022-06-23T20:00:00.000Z
8,8,LAV,2022-06-23 12:00,2022-06-23 21:00,,65.0,57.0,BK,120.0,11.0,,,,,,,,,,8,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,7,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2022-06-23T12:00:00.000Z,2022-06-23T21:00:00.000Z
9,9,LAV,2022-06-23 12:00,2022-06-23 22:00,,65.0,57.0,SC,120.0,10.0,,,,,,,,,,7,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,7,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-06-23T12:00:00.000Z,2022-06-23T22:00:00.000Z
