,index,model,runtime,ftime,n_x,tmp,dpt,cld,wdr,wsp,p06,p12,q06,q12,t06_1,t06_2,t12_1,t12_2,snw,cig,vis,obv,poz,pos,typ,sky,gst,t03,pzr,psn,ppl,pra,s06,slv,i06,lcb,swh,station,dur,mht,twd,tws,hid,sol,q24,p24,t24,ccg,ppo,pco,cvs,lp1,lc1,cp1,cc1,s12,i12,s24,pzp,prs,txn,xnd,tsd,dsd,ssd,gsd,ifc,ifv,mvc,mvv,liv,wsd,p01,pc1,t06,t12,runtime_utc,ftime_utc
0,0,LAV,2020-09-03 06:00,2020-09-03 07:00,,71.0,69.0,OV,210.0,7.0,,,,,,,,,,3,7,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,5.0,1.0,N,6.0,0.0,N,11.0,L,,,,,,,,,,,,,,,,,,,,,,2020-09-03T06:00:00.000Z,2020-09-03T07:00:00.000Z
1,1,LAV,2020-09-03 06:00,2020-09-03 08:00,,72.0,69.0,OV,210.0,6.0,,,,,,,,,,3,5,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3.0,23.0,N,5.0,7.0,L,13.0,L,,,,,,,,,,,,,,,,,,,,,,2020-09-03T06:00:00.000Z,2020-09-03T08:00:00.000Z
2,2,LAV,2020-09-03 06:00,2020-09-03 09:00,,72.0,69.0,OV,210.0,6.0,,,,,,,,,,3,5,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2.0,20.0,N,5.0,28.0,M,41.0,M,,,,,,,,,,,,,,,,,,,,,,2020-09-03T06:00:00.000Z,2020-09-03T09:00:00.000Z
3,3,LAV,2020-09-03 06:00,2020-09-03 10:00,,71.0,69.0,OV,220.0,5.0,,,,,,,,,,2,3,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3.0,18.0,N,3.0,6.0,N,23.0,L,,,,,,,,,,,,,,,,,,,,,,2020-09-03T06:00:00.000Z,2020-09-03T10:00:00.000Z
4,4,LAV,2020-09-03 06:00,2020-09-03 11:00,,71.0,69.0,OV,210.0,6.0,,,,,,,,,,2,3,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3.0,3.0,N,3.0,0.0,N,3.0,N,,,,,,,,,,,,,,,,,,,,,,2020-09-03T06:00:00.000Z,2020-09-03T11:00:00.000Z
5,5,LAV,2020-09-03 06:00,2020-09-03 12:00,,72.0,69.0,OV,230.0,6.0,28.0,,,,,,,,,2,3,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2.0,4.0,N,3.0,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,,,,,2020-09-03T06:00:00.000Z,2020-09-03T12:00:00.000Z
6,6,LAV,2020-09-03 06:00,2020-09-03 13:00,,74.0,69.0,OV,220.0,5.0,,,,,,,,,,2,4,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3.0,4.0,N,2.0,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,,,,,2020-09-03T06:00:00.000Z,2020-09-03T13:00:00.000Z
7,7,LAV,2020-09-03 06:00,2020-09-03 14:00,,76.0,69.0,OV,190.0,5.0,,,,,,,,,,3,5,HZ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2.0,3.0,N,3.0,0.0,N,2.0,N,,,,,,,,,,,,,,,,,,,,,,2020-09-03T06:00:00.000Z,2020-09-03T14:00:00.000Z
8,8,LAV,2020-09-03 06:00,2020-09-03 15:00,,78.0,69.0,OV,130.0,5.0,,,,,,,,,,4,5,HZ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3.0,3.0,N,4.0,0.0,N,4.0,N,,,,,,,,,,,,,,,,,,,,,,2020-09-03T06:00:00.000Z,2020-09-03T15:00:00.000Z
9,9,LAV,2020-09-03 06:00,2020-09-03 16:00,,79.0,69.0,OV,110.0,6.0,,,,,,,,,,4,7,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,4.0,3.0,N,5.0,0.0,N,10.0,N,,,,,,,,,,,,,,,,,,,,,,2020-09-03T06:00:00.000Z,2020-09-03T16:00:00.000Z
