,index,model,runtime,ftime,n_x,tmp,dpt,cld,wdr,wsp,p06,p12,q06,q12,t06_1,t06_2,t12_1,t12_2,snw,cig,vis,obv,poz,pos,typ,sky,gst,t03,pzr,psn,ppl,pra,s06,slv,i06,lcb,swh,station,dur,mht,twd,tws,hid,sol,q24,p24,t24,ccg,ppo,pco,cvs,lp1,lc1,cp1,cc1,s12,i12,s24,pzp,prs,txn,xnd,tsd,dsd,ssd,gsd,ifc,ifv,mvc,mvv,liv,wsd,p01,pc1,t06,t12,runtime_utc,ftime_utc
0,0,LAV,2022-05-20 12:00,2022-05-20 13:00,,54.0,53.0,OV,120.0,6.0,,,,,,,,,,2,5,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,5,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-05-20T12:00:00.000Z,2022-05-20T13:00:00.000Z
1,1,LAV,2022-05-20 12:00,2022-05-20 14:00,,56.0,53.0,OV,120.0,6.0,,,,,,,,,,3,7,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,5,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,0,N,,,2022-05-20T12:00:00.000Z,2022-05-20T14:00:00.000Z
2,2,LAV,2022-05-20 12:00,2022-05-20 15:00,,58.0,53.0,OV,130.0,7.0,,,,,,,,,,3,7,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,6,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,1,N,,,2022-05-20T12:00:00.000Z,2022-05-20T15:00:00.000Z
3,3,LAV,2022-05-20 12:00,2022-05-20 16:00,,59.0,53.0,BK,130.0,9.0,,,,,,,,,,6,7,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,5,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,2,N,,,2022-05-20T12:00:00.000Z,2022-05-20T16:00:00.000Z
4,4,LAV,2022-05-20 12:00,2022-05-20 17:00,,60.0,54.0,OV,120.0,11.0,,,,,,,,,,6,7,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,7,1.0,N,6,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,2,N,,,2022-05-20T12:00:00.000Z,2022-05-20T17:00:00.000Z
5,5,LAV,2022-05-20 12:00,2022-05-20 18:00,,60.0,54.0,BK,130.0,13.0,3.0,,,,,,,,,6,7,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,8,1.0,N,5,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,2,N,,,2022-05-20T12:00:00.000Z,2022-05-20T18:00:00.000Z
6,6,LAV,2022-05-20 12:00,2022-05-20 19:00,,61.0,54.0,SC,120.0,14.0,,,,,,,,,,8,7,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,8,1.0,N,5,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,2,N,,,2022-05-20T12:00:00.000Z,2022-05-20T19:00:00.000Z
7,7,LAV,2022-05-20 12:00,2022-05-20 20:00,,63.0,54.0,SC,130.0,13.0,,,,,,,,,,8,7,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,8,1.0,N,6,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,2,N,,,2022-05-20T12:00:00.000Z,2022-05-20T20:00:00.000Z
8,8,LAV,2022-05-20 12:00,2022-05-20 21:00,,63.0,54.0,SC,130.0,14.0,,,,,,,,,,8,7,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,8,1.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,3,N,,,2022-05-20T12:00:00.000Z,2022-05-20T21:00:00.000Z
9,9,LAV,2022-05-20 12:00,2022-05-20 22:00,,63.0,54.0,BK,140.0,13.0,,,,,,,,,,8,7,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,7,1.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,2,N,,,2022-05-20T12:00:00.000Z,2022-05-20T22:00:00.000Z
