,index,model,runtime,ftime,n_x,tmp,dpt,cld,wdr,wsp,p06,p12,q06,q12,t06_1,t06_2,t12_1,t12_2,snw,cig,vis,obv,poz,pos,typ,sky,gst,t03,pzr,psn,ppl,pra,s06,slv,i06,lcb,swh,station,dur,mht,twd,tws,hid,sol,q24,p24,t24,ccg,ppo,pco,cvs,lp1,lc1,cp1,cc1,s12,i12,s24,pzp,prs,txn,xnd,tsd,dsd,ssd,gsd,ifc,ifv,mvc,mvv,liv,wsd,p01,pc1,t06,t12,runtime_utc,ftime_utc
0,0,LAV,2021-09-18 00:00,2021-09-18 01:00,,66.0,63.0,OV,10.0,5.0,,,,,,,,,,2,2,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,2,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-09-18T00:00:00.000Z,2021-09-18T01:00:00.000Z
1,1,LAV,2021-09-18 00:00,2021-09-18 02:00,,66.0,63.0,OV,20.0,6.0,,,,,,,,,,2,2,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,2,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-09-18T00:00:00.000Z,2021-09-18T02:00:00.000Z
2,2,LAV,2021-09-18 00:00,2021-09-18 03:00,,65.0,63.0,OV,20.0,5.0,,,,,,,,,,2,2,FG,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,3,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-09-18T00:00:00.000Z,2021-09-18T03:00:00.000Z
3,3,LAV,2021-09-18 00:00,2021-09-18 04:00,,65.0,63.0,OV,30.0,5.0,,,,,,,,,,2,2,FG,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,2,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-09-18T00:00:00.000Z,2021-09-18T04:00:00.000Z
4,4,LAV,2021-09-18 00:00,2021-09-18 05:00,,65.0,63.0,OV,30.0,5.0,,,,,,,,,,2,1,FG,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,2,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-09-18T00:00:00.000Z,2021-09-18T05:00:00.000Z
5,5,LAV,2021-09-18 00:00,2021-09-18 06:00,,65.0,63.0,OV,30.0,5.0,5.0,,,,,,,,,2,1,FG,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,2,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,3,N,,,2021-09-18T00:00:00.000Z,2021-09-18T06:00:00.000Z
6,6,LAV,2021-09-18 00:00,2021-09-18 07:00,,64.0,63.0,OV,30.0,5.0,,,,,,,,,,2,1,FG,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,1.0,N,2,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,5,N,,,2021-09-18T00:00:00.000Z,2021-09-18T07:00:00.000Z
7,7,LAV,2021-09-18 00:00,2021-09-18 08:00,,64.0,63.0,OV,20.0,5.0,,,,,,,,,,2,1,FG,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,2,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,3,N,,,2021-09-18T00:00:00.000Z,2021-09-18T08:00:00.000Z
8,8,LAV,2021-09-18 00:00,2021-09-18 09:00,,63.0,62.0,OV,10.0,6.0,,,,,,,,,,2,1,FG,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,2,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,2,N,,,2021-09-18T00:00:00.000Z,2021-09-18T09:00:00.000Z
9,9,LAV,2021-09-18 00:00,2021-09-18 10:00,,63.0,62.0,OV,10.0,5.0,,,,,,,,,,2,1,FG,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,2,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2021-09-18T00:00:00.000Z,2021-09-18T10:00:00.000Z
10,10,LAV,2021-09-18 00:00,2021-09-18 11:00,,63.0,62.0,OV,10.0,6.0,,,,,,,,,,2,1,FG,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,2,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2021-09-18T00:00:00.000Z,2021-09-18T11:00:00.000Z
11,11,LAV,2021-09-18 00:00,2021-09-18 12:00,,65.0,63.0,OV,10.0,6.0,10.0,,,,,,,,,2,1,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,1.0,N,1,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2021-09-18T00:00:00.000Z,2021-09-18T12:00:00.000Z
12,12,LAV,2021-09-18 00:00,2021-09-18 13:00,,67.0,63.0,OV,20.0,7.0,,,,,,,,,,2,1,BR,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,2,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2021-09-18T00:00:00.000Z,2021-09-18T13:00:00.000Z
13,13,LAV,2021-09-18 00:00,2021-09-18 14:00,,69.0,63.0,OV,40.0,7.0,,,,,,,,,,2,3,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,2,0.0,N,3,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-09-18T00:00:00.000Z,2021-09-18T14:00:00.000Z
14,14,LAV,2021-09-18 00:00,2021-09-18 15:00,,70.0,63.0,OV,50.0,8.0,,,,,,,,,,3,7,N ,0.0,0.0,R ,,,,,,,,,,,,,KBOS,,,,,,,,,,3,0.0,N,5,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-09-18T00:00:00.000Z,2021-09-18T15:00:00.000Z
