,index,model,runtime,ftime,n_x,tmp,dpt,cld,wdr,wsp,p06,p12,q06,q12,t06_1,t06_2,t12_1,t12_2,snw,cig,vis,obv,poz,pos,typ,sky,gst,t03,pzr,psn,ppl,pra,s06,slv,i06,lcb,swh,station,dur,mht,twd,tws,hid,sol,q24,p24,t24,ccg,ppo,pco,cvs,lp1,lc1,cp1,cc1,s12,i12,s24,pzp,prs,txn,xnd,tsd,dsd,ssd,gsd,ifc,ifv,mvc,mvv,liv,wsd,p01,pc1,t06,t12,runtime_utc,ftime_utc
0,0,LAV,2021-06-26 06:00,2021-06-26 07:00,,66.0,61.0,OV,200.0,10.0,,,,,,,,,,3,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,0.0,N,3,0.0,N,1.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-06-26T06:00:00.000Z,2021-06-26T07:00:00.000Z
1,1,LAV,2021-06-26 06:00,2021-06-26 08:00,,66.0,62.0,OV,200.0,10.0,,,,,,,,,,3,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-06-26T06:00:00.000Z,2021-06-26T08:00:00.000Z
2,2,LAV,2021-06-26 06:00,2021-06-26 09:00,,66.0,62.0,OV,200.0,9.0,,,,,,,,,,3,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,1.0,N,5,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-06-26T06:00:00.000Z,2021-06-26T09:00:00.000Z
3,3,LAV,2021-06-26 06:00,2021-06-26 10:00,,67.0,63.0,OV,200.0,8.0,,,,,,,,,,3,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,2,1.0,N,4,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-06-26T06:00:00.000Z,2021-06-26T10:00:00.000Z
4,4,LAV,2021-06-26 06:00,2021-06-26 11:00,,68.0,64.0,OV,200.0,8.0,,,,,,,,,,3,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,1.0,N,4,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-06-26T06:00:00.000Z,2021-06-26T11:00:00.000Z
5,5,LAV,2021-06-26 06:00,2021-06-26 12:00,,71.0,65.0,OV,210.0,9.0,1.0,,,,,,,,,3,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-06-26T06:00:00.000Z,2021-06-26T12:00:00.000Z
6,6,LAV,2021-06-26 06:00,2021-06-26 13:00,,73.0,66.0,OV,210.0,9.0,,,,,,,,,,3,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,3,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-06-26T06:00:00.000Z,2021-06-26T13:00:00.000Z
7,7,LAV,2021-06-26 06:00,2021-06-26 14:00,,75.0,66.0,OV,220.0,10.0,,,,,,,,,,4,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,4,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-06-26T06:00:00.000Z,2021-06-26T14:00:00.000Z
8,8,LAV,2021-06-26 06:00,2021-06-26 15:00,,78.0,67.0,OV,210.0,12.0,,,,,,,,,,4,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,4,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,0,N,,,2021-06-26T06:00:00.000Z,2021-06-26T15:00:00.000Z
9,9,LAV,2021-06-26 06:00,2021-06-26 16:00,,80.0,67.0,OV,210.0,12.0,,,,,,,,,,6,7,N ,,,,,,,,,,,,,,,,KBOS,,,,,,,,,,7,0.0,N,7,0.0,N,0.0,N,,,,,,,,,,,,,,,,,,1,N,,,2021-06-26T06:00:00.000Z,2021-06-26T16:00:00.000Z
